NTASData [id=16593628237, subwayLine=YUS, stationId=MUS1, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:56:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16593628238, subwayLine=YUS, stationId=MUS1, trainId=191, trainMessage=Arriving, trainDirection=North, timeInt=1.8355855555555558, timeString=01.84, trainDestination=MUS1, createDate=Sun Sep 17 10:56:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16593628239, subwayLine=YUS, stationId=MUS1, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=2.40484, timeString=02.40, trainDestination=MUS2, createDate=Sun Sep 17 10:56:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16593628240, subwayLine=YUS, stationId=STA1, trainId=115, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:56:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16593628241, subwayLine=YUS, stationId=UNI1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=0.9069333333333333, timeString=00.91, trainDestination=FIN1, createDate=Sun Sep 17 10:56:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16593628242, subwayLine=YUS, stationId=KNG1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=0.1840088888888889, timeString=00.18, trainDestination=FIN1, createDate=Sun Sep 17 10:56:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16593628243, subwayLine=YUS, stationId=KNG1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=1.7018244444444444, timeString=01.70, trainDestination=FIN1, createDate=Sun Sep 17 10:56:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16593628244, subwayLine=YUS, stationId=QUN1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=1.0096622222222222, timeString=01.01, trainDestination=FIN1, createDate=Sun Sep 17 10:56:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16593628245, subwayLine=YUS, stationId=QUN1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=2.527477777777778, timeString=02.53, trainDestination=FIN1, createDate=Sun Sep 17 10:56:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16593628246, subwayLine=YUS, stationId=DUN1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=0.08974666666666667, timeString=00.09, trainDestination=FIN1, createDate=Sun Sep 17 10:56:22 EDT 2017, systemMessageType=Normal]
NTASData [id=16593628247, subwayLine=YUS, stationId=DUN1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=1.7641955555555555, timeString=01.76, trainDestination=FIN1, createDate=Sun Sep 17 10:56:22 EDT 2017, systemMessageType=Normal]
