NTASData [id=16594165388, subwayLine=SHEP, stationId=LES2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=0.7409395973154362, timeString=00.74, trainDestination=YIE2, createDate=Sun Sep 17 11:36:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594165389, subwayLine=SHEP, stationId=BSS2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=2.3368791946308725, timeString=02.34, trainDestination=YIE2, createDate=Sun Sep 17 11:36:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594165390, subwayLine=SHEP, stationId=BYV2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=4.128120805369127, timeString=04.13, trainDestination=YIE2, createDate=Sun Sep 17 11:36:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594165391, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=1.006711409395973, timeString=01.01, trainDestination=YIE2, createDate=Sun Sep 17 11:36:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594165392, subwayLine=SHEP, stationId=YIE2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=8.269026845637583, timeString=08.27, trainDestination=YIE2, createDate=Sun Sep 17 11:36:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594165393, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=1.006711409395973, timeString=01.01, trainDestination=YIE2, createDate=Sun Sep 17 11:36:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594165394, subwayLine=SHEP, stationId=YIE1, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=8.269026845637583, timeString=08.27, trainDestination=YIE2, createDate=Sun Sep 17 11:36:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594165395, subwayLine=SHEP, stationId=BYV1, trainId=461, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=DML1, createDate=Sun Sep 17 11:36:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594165396, subwayLine=SHEP, stationId=BSS1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=1.787214765100671, timeString=01.79, trainDestination=DML1, createDate=Sun Sep 17 11:36:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594165397, subwayLine=SHEP, stationId=LES1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=3.37510067114094, timeString=03.38, trainDestination=DML1, createDate=Sun Sep 17 11:36:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594165398, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=0.8456375838926175, timeString=00.85, trainDestination=DML1, createDate=Sun Sep 17 11:36:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594165399, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=6.879765100671141, timeString=06.88, trainDestination=DML1, createDate=Sun Sep 17 11:36:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594165400, subwayLine=SHEP, stationId=DML2, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=0.8456375838926175, timeString=00.85, trainDestination=DML1, createDate=Sun Sep 17 11:36:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594165401, subwayLine=SHEP, stationId=DML2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=6.879765100671141, timeString=06.88, trainDestination=DML1, createDate=Sun Sep 17 11:36:15 EDT 2017, systemMessageType=Normal]
