NTASData [id=16594312916, subwayLine=YUS, stationId=UNI1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=0.5108222222222222, timeString=00.51, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313026, subwayLine=YUS, stationId=MUS2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=4.780764444444444, timeString=04.78, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313027, subwayLine=YUS, stationId=SGU2, trainId=108, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313028, subwayLine=YUS, stationId=SGU2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=5.013597777777777, timeString=05.01, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313029, subwayLine=YUS, stationId=SGU2, trainId=94, trainMessage=Delayed, trainDirection=South, timeInt=5.436507777777777, timeString=05.44, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313030, subwayLine=YUS, stationId=SPA2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=1.1677066666666667, timeString=01.17, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313031, subwayLine=YUS, stationId=SPA2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=6.181304444444445, timeString=06.18, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313032, subwayLine=YUS, stationId=SPA2, trainId=94, trainMessage=Delayed, trainDirection=South, timeInt=6.604214444444445, timeString=06.60, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313033, subwayLine=YUS, stationId=DUP2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=0.27996444444444446, timeString=00.28, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313034, subwayLine=YUS, stationId=DUP2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=2.1655155555555554, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313035, subwayLine=YUS, stationId=DUP2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=7.1791133333333335, timeString=07.18, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313036, subwayLine=YUS, stationId=SCW2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=2.9045022222222223, timeString=02.90, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313037, subwayLine=YUS, stationId=SCW2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=4.790053333333333, timeString=04.79, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313038, subwayLine=YUS, stationId=SCW2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=9.803651111111112, timeString=09.80, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313039, subwayLine=YUS, stationId=EGW2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=1.6512592592592592, timeString=01.65, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313040, subwayLine=YUS, stationId=EGW2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=7.717673333333334, timeString=07.72, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313041, subwayLine=YUS, stationId=EGW2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=9.603224444444445, timeString=09.60, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313042, subwayLine=YUS, stationId=GCN2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=3.470899259259259, timeString=03.47, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313043, subwayLine=YUS, stationId=GCN2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=9.537313333333335, timeString=09.54, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313044, subwayLine=YUS, stationId=GCN2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=11.422864444444444, timeString=11.42, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313045, subwayLine=YUS, stationId=LWW2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=4.835032592592593, timeString=04.84, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313046, subwayLine=YUS, stationId=LWW2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=10.901446666666667, timeString=10.90, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313047, subwayLine=YUS, stationId=LWW2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=12.786997777777778, timeString=12.79, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313048, subwayLine=YUS, stationId=YKD2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=0.8751666666666666, timeString=00.88, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313049, subwayLine=YUS, stationId=YKD2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=6.861259259259259, timeString=06.86, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313050, subwayLine=YUS, stationId=YKD2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=12.927673333333335, timeString=12.93, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313051, subwayLine=YUS, stationId=WIL2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=2.8946199999999997, timeString=02.89, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313052, subwayLine=YUS, stationId=WIL2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=8.880712592592593, timeString=08.88, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313053, subwayLine=YUS, stationId=WIL2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=14.947126666666668, timeString=14.95, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313054, subwayLine=YUS, stationId=SHW2, trainId=126, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313055, subwayLine=YUS, stationId=SHW2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=3.0164814814814815, timeString=03.02, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313056, subwayLine=YUS, stationId=SHW2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=6.745897777777778, timeString=06.75, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313057, subwayLine=YUS, stationId=SHW1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313058, subwayLine=YUS, stationId=SHW1, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=3.0164814814814815, timeString=03.02, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313059, subwayLine=YUS, stationId=SHW1, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=6.745897777777778, timeString=06.75, trainDestination=SHW2, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313060, subwayLine=YUS, stationId=WIL1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=0.5053132444444444, timeString=00.51, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313061, subwayLine=YUS, stationId=WIL1, trainId=125, trainMessage=Delayed, trainDirection=North, timeInt=1.3834799111111111, timeString=01.38, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313062, subwayLine=YUS, stationId=WIL1, trainId=532, trainMessage=Delayed, trainDirection=North, timeInt=2.7868502814814815, timeString=02.79, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313063, subwayLine=YUS, stationId=YKD1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=0.5926666666666667, timeString=00.59, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313064, subwayLine=YUS, stationId=YKD1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=1.50114, timeString=01.50, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313065, subwayLine=YUS, stationId=YKD1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=2.5208154666666664, timeString=02.52, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313066, subwayLine=YUS, stationId=LWW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=0.4872222222222223, timeString=00.49, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313067, subwayLine=YUS, stationId=LWW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=2.6109911111111113, timeString=02.61, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313068, subwayLine=YUS, stationId=LWW1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=3.5194644444444445, timeString=03.52, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313069, subwayLine=YUS, stationId=GCN1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=1.845711111111111, timeString=01.85, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313070, subwayLine=YUS, stationId=GCN1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=3.96948, timeString=03.97, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313071, subwayLine=YUS, stationId=GCN1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=4.877953333333333, timeString=04.88, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313072, subwayLine=YUS, stationId=EGW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=3.6659155555555554, timeString=03.67, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313073, subwayLine=YUS, stationId=EGW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=5.789684444444444, timeString=05.79, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313074, subwayLine=YUS, stationId=EGW1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=6.698157777777777, timeString=06.70, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313075, subwayLine=YUS, stationId=SCW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=8.36535111111111, timeString=08.37, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313076, subwayLine=YUS, stationId=SCW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=10.489119999999998, timeString=10.49, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313077, subwayLine=YUS, stationId=SCW1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=11.397593333333331, timeString=11.40, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313078, subwayLine=YUS, stationId=DUP1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=10.989888888888888, timeString=10.99, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313079, subwayLine=YUS, stationId=DUP1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=13.113657777777778, timeString=13.11, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313080, subwayLine=YUS, stationId=DUP1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=14.022131111111111, timeString=14.02, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313081, subwayLine=YUS, stationId=SPA1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=11.99052, timeString=11.99, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313082, subwayLine=YUS, stationId=SPA1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=14.114288888888888, timeString=14.11, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313083, subwayLine=YUS, stationId=SPA1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=15.022762222222221, timeString=15.02, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313084, subwayLine=YUS, stationId=SGU1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=13.120126666666666, timeString=13.12, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313085, subwayLine=YUS, stationId=SGU1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=15.243895555555554, timeString=15.24, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313086, subwayLine=YUS, stationId=SGU1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=16.152368888888887, timeString=16.15, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313087, subwayLine=YUS, stationId=MUS1, trainId=10, trainMessage=Arriving, trainDirection=North, timeInt=0.9469966666666666, timeString=00.95, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313088, subwayLine=YUS, stationId=MUS1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=14.322123333333332, timeString=14.32, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313089, subwayLine=YUS, stationId=MUS1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=16.44589222222222, timeString=16.45, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313090, subwayLine=YUS, stationId=QPK1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=0.8111066666666666, timeString=00.81, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313091, subwayLine=YUS, stationId=QPK1, trainId=10, trainMessage=Arriving, trainDirection=North, timeInt=2.2095299999999995, timeString=02.21, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313092, subwayLine=YUS, stationId=QPK1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=15.584656666666666, timeString=15.58, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313093, subwayLine=YUS, stationId=STP1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=1.9618799999999998, timeString=01.96, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313094, subwayLine=YUS, stationId=STP1, trainId=10, trainMessage=Arriving, trainDirection=North, timeInt=3.3603033333333334, timeString=03.36, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313095, subwayLine=YUS, stationId=STP1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=16.735429999999997, timeString=16.74, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313096, subwayLine=YUS, stationId=OSG1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=2.713026666666667, timeString=02.71, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313097, subwayLine=YUS, stationId=OSG1, trainId=10, trainMessage=Arriving, trainDirection=North, timeInt=4.1114500000000005, timeString=04.11, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313098, subwayLine=YUS, stationId=OSG1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=17.486576666666668, timeString=17.49, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313099, subwayLine=YUS, stationId=STA1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=3.5468644444444446, timeString=03.55, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313100, subwayLine=YUS, stationId=STA1, trainId=10, trainMessage=Arriving, trainDirection=North, timeInt=4.945287777777779, timeString=04.95, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
NTASData [id=16594313101, subwayLine=YUS, stationId=STA1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=18.320414444444445, timeString=18.32, trainDestination=FIN1, createDate=Sun Sep 17 11:47:15 EDT 2017, systemMessageType=Normal]
