NTASData [id=16593253068, subwayLine=SHEP, stationId=BYV1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=2.383892617449664, timeString=02.38, trainDestination=DML1, createDate=Sun Sep 17 10:28:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593253069, subwayLine=SHEP, stationId=BSS1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=4.1711073825503355, timeString=04.17, trainDestination=DML1, createDate=Sun Sep 17 10:28:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593253070, subwayLine=SHEP, stationId=LES1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=5.758993288590603, timeString=05.76, trainDestination=DML1, createDate=Sun Sep 17 10:28:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593253071, subwayLine=SHEP, stationId=DML1, trainId=463, trainMessage=Delayed, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 10:28:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593253072, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=3.0140939597315435, timeString=03.01, trainDestination=DML1, createDate=Sun Sep 17 10:28:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593253073, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=9.263657718120806, timeString=09.26, trainDestination=DML1, createDate=Sun Sep 17 10:28:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593253074, subwayLine=SHEP, stationId=DML2, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=3.0140939597315435, timeString=03.01, trainDestination=DML1, createDate=Sun Sep 17 10:28:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593253075, subwayLine=SHEP, stationId=DML2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=9.263657718120806, timeString=09.26, trainDestination=DML1, createDate=Sun Sep 17 10:28:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593253076, subwayLine=SHEP, stationId=BYV2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=1.3369127516778523, timeString=01.34, trainDestination=YIE2, createDate=Sun Sep 17 10:28:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593253077, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=5.477818791946309, timeString=05.48, trainDestination=YIE2, createDate=Sun Sep 17 10:28:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593253078, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=5.477818791946309, timeString=05.48, trainDestination=YIE2, createDate=Sun Sep 17 10:28:18 EDT 2017, systemMessageType=Normal]
