NTASData [id=16594082186, subwayLine=YUS, stationId=FIN2, trainId=115, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:30:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594082187, subwayLine=YUS, stationId=FIN2, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=4.374186666666667, timeString=04.37, trainDestination=FIN1, createDate=Sun Sep 17 11:30:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594082188, subwayLine=YUS, stationId=FIN2, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=15.461182222222224, timeString=15.46, trainDestination=FIN1, createDate=Sun Sep 17 11:30:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594082189, subwayLine=YUS, stationId=SHP2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=1.2056533333333335, timeString=01.21, trainDestination=SHW2, createDate=Sun Sep 17 11:30:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594082190, subwayLine=YUS, stationId=YKM2, trainId=111, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:30:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594082191, subwayLine=YUS, stationId=YKM2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=4.78636, timeString=04.79, trainDestination=SHW2, createDate=Sun Sep 17 11:30:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594082192, subwayLine=YUS, stationId=LAW2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=3.512973333333333, timeString=03.51, trainDestination=SHW2, createDate=Sun Sep 17 11:30:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594082193, subwayLine=YUS, stationId=LAW2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=8.299333333333333, timeString=08.30, trainDestination=SHW2, createDate=Sun Sep 17 11:30:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594082194, subwayLine=YUS, stationId=EGL2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=2.4101777777777778, timeString=02.41, trainDestination=SHW2, createDate=Sun Sep 17 11:30:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594082195, subwayLine=YUS, stationId=EGL2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=7.795848888888889, timeString=07.80, trainDestination=SHW2, createDate=Sun Sep 17 11:30:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594082196, subwayLine=YUS, stationId=EGL2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=12.58220888888889, timeString=12.58, trainDestination=SHW2, createDate=Sun Sep 17 11:30:07 EDT 2017, systemMessageType=Normal]
