NTASData [id=16594594965, subwayLine=SHEP, stationId=YIE2, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=2.2973154362416106, timeString=02.30, trainDestination=YIE2, createDate=Sun Sep 17 12:08:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594594966, subwayLine=SHEP, stationId=YIE2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=9.022046979865772, timeString=09.02, trainDestination=YIE2, createDate=Sun Sep 17 12:08:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594594967, subwayLine=SHEP, stationId=YIE1, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=2.2973154362416106, timeString=02.30, trainDestination=YIE2, createDate=Sun Sep 17 12:08:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594594968, subwayLine=SHEP, stationId=YIE1, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=9.022046979865772, timeString=09.02, trainDestination=YIE2, createDate=Sun Sep 17 12:08:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594594969, subwayLine=SHEP, stationId=BYV1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=0.43288590604026844, timeString=00.43, trainDestination=DML1, createDate=Sun Sep 17 12:08:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594594970, subwayLine=SHEP, stationId=BSS1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=2.2201006711409397, timeString=02.22, trainDestination=DML1, createDate=Sun Sep 17 12:08:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594594971, subwayLine=SHEP, stationId=LES1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=3.8079865771812083, timeString=03.81, trainDestination=DML1, createDate=Sun Sep 17 12:08:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594594972, subwayLine=SHEP, stationId=DML1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=2.7060402684563756, timeString=02.71, trainDestination=DML1, createDate=Sun Sep 17 12:08:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594594973, subwayLine=SHEP, stationId=DML1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=7.312651006711409, timeString=07.31, trainDestination=DML1, createDate=Sun Sep 17 12:08:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594594974, subwayLine=SHEP, stationId=DML2, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=2.7060402684563756, timeString=02.71, trainDestination=DML1, createDate=Sun Sep 17 12:08:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594594975, subwayLine=SHEP, stationId=DML2, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=7.312651006711409, timeString=07.31, trainDestination=DML1, createDate=Sun Sep 17 12:08:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594594976, subwayLine=SHEP, stationId=LES2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=1.4939597315436242, timeString=01.49, trainDestination=YIE2, createDate=Sun Sep 17 12:08:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594594977, subwayLine=SHEP, stationId=BSS2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=3.0898993288590604, timeString=03.09, trainDestination=YIE2, createDate=Sun Sep 17 12:08:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594594978, subwayLine=SHEP, stationId=BYV2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=4.881140939597315, timeString=04.88, trainDestination=YIE2, createDate=Sun Sep 17 12:08:53 EDT 2017, systemMessageType=Normal]
