NTASData [id=16593555203, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=3.2496644295302013, timeString=03.25, trainDestination=DML1, createDate=Sun Sep 17 10:50:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593555204, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=9.936140939597315, timeString=09.94, trainDestination=DML1, createDate=Sun Sep 17 10:50:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593555205, subwayLine=SHEP, stationId=DML2, trainId=463, trainMessage=Delayed, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 10:50:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593555206, subwayLine=SHEP, stationId=DML2, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=3.2496644295302013, timeString=03.25, trainDestination=DML1, createDate=Sun Sep 17 10:50:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593555207, subwayLine=SHEP, stationId=DML2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=9.936140939597315, timeString=09.94, trainDestination=DML1, createDate=Sun Sep 17 10:50:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593555208, subwayLine=SHEP, stationId=BYV2, trainId=462, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 10:50:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593555209, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=4.140906040268456, timeString=04.14, trainDestination=YIE2, createDate=Sun Sep 17 10:50:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593555210, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=4.140906040268456, timeString=04.14, trainDestination=YIE2, createDate=Sun Sep 17 10:50:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593555211, subwayLine=SHEP, stationId=BYV1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=3.0563758389261744, timeString=03.06, trainDestination=DML1, createDate=Sun Sep 17 10:50:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593555212, subwayLine=SHEP, stationId=BSS1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=4.843590604026845, timeString=04.84, trainDestination=DML1, createDate=Sun Sep 17 10:50:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593555213, subwayLine=SHEP, stationId=LES1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=6.431476510067114, timeString=06.43, trainDestination=DML1, createDate=Sun Sep 17 10:50:57 EDT 2017, systemMessageType=Normal]
